cenario,total_pares,total_placas,pares_intra,pares_inter,pct_interzona,media_qtd_eventos,media_duracao_min
A_todos,15574169,1440237,13708632.0,1865537.0,11.98,1.352342394640767,18.137761635949886
B_2mais_eventos,3836738,511815,1971201.0,1865537.0,48.62,2.4302357888393735,73.62519020063398
C_apenas_interzona,1865537,357434,0.0,1865537.0,100.0,2.5097974470621596,70.57538714053916
D_duracao_ate_180,15027150,1437108,13407485.0,1619665.0,10.78,1.2925677190951046,9.997693175352612
